"id","title","url","description","createdAt","updatedAt","catagory","is_deleted","order","variation","skills_ids","companytype","icon","is_techstack"
"34b8e332-29dc-4048-a104-53db53aa2560","Bank reconciliation statement","","Reconcile your accounts with your bank statements and credit cards.","2023-09-13 18:57:20.73+01","2023-09-13 18:57:20.73+01","bookKeeping",False,"5",NULL,NULL,NULL,NULL,True
"c75566d5-a2a2-439d-ad85-4faf67ee6e1b","temp","http://www.findahmad.me","Dolorem quam cum exp","2023-09-16 07:18:34.945+01","2023-09-16 07:18:34.945+01","frontend",False,"5",NULL,NULL,NULL,NULL,True
"505c41ff-71da-4e9f-98dc-aa3b7a38f2b0","","","","2023-09-16 19:26:55.494+01","2023-09-16 19:29:12.038+01","bookKeeping",True,"5",NULL,NULL,NULL,NULL,True
"db27f296-8748-4305-8797-fcb5df9810e7","HTML","https://www.w3schools.com/html/","","2023-08-04 19:44:28.364+01","2024-12-09 15:06:41.243+00","",False,"1.3","{html5,xhtml}","{""skills_ids"":[]}","cypexsoft","https://personalimagelist.s3.eu-north-1.amazonaws.com/1723834652671_0r93t2gzvcvapngwing.com%20%2835%29.png",True
"be57dc50-957e-46a8-ab6f-89ef8815c25a","Xamarin","","","2024-12-03 11:23:38.446+00","2024-12-09 15:10:32.066+00","",False,"1.3",NULL,"{""skills_ids"":[]}","cypexsoft","https://personalimagelist.s3.eu-north-1.amazonaws.com/1733225017840_op4u5w3h5iapngwing.com%20%288%29.png",False
"5d13e10a-1367-4089-9156-9414fcc07da4","Docker","https://www.docker.com/","","2023-06-12 19:28:18.769+01","2024-12-09 15:11:15.047+00","",False,"3","{Docker}","{""skills_ids"":[]}","cypexsoft","https://personalimagelist.s3.eu-north-1.amazonaws.com/1723824078356_010mnv5cs27xp2993785_docker_social%20media_icon.png",True
"0a2d81b6-eb72-4633-a56d-4e0bdae38f81","temp1","","","2023-08-31 22:34:24.058+01","2023-08-31 22:35:17.961+01","devops",True,"5",NULL,NULL,NULL,NULL,True
"78c35f73-a5db-4f3a-80a0-39c50093365c","template66","https://www.poralesirutepa.org.au","Voluptatem debitis ","2024-01-03 13:46:50.744+00","2024-01-03 13:47:01.577+00","devops",True,"1","{""Autem deserunt culpa""}",NULL,NULL,NULL,True
"cf667d1a-a0e9-4163-8657-f75b84060394","AppFolio","","","2023-09-16 20:07:52.59+01","2023-09-16 20:07:52.59+01","bookKeeping",False,"5",NULL,NULL,NULL,NULL,True
"e3fe8444-16da-42c8-9e37-d747eb0016c5","Wage and Salary Calculation","","","2023-06-21 21:55:26.139+01","2023-09-16 19:27:22.901+01","bookKeeping",False,"5",NULL,NULL,NULL,NULL,True
